RATE,CURRENCY,DATE
0.6,bgn,3/1/2021
1.19,eur,6/1/2021
0.81,cad,6/1/2021
1.38,gbp,6/1/2021
0.76,aud,6/1/2021
0.01,jpy,6/1/2021
0.18,brl,6/1/2021
1.09,chf,6/1/2021
0.16,dkk,6/1/2021
0.01,rub,6/1/2021
0.26,pln,6/1/2021
0.12,sek,6/1/2021
0.04,twd,6/1/2021
0.3,ils,6/1/2021
0,krw,6/1/2021
0.05,mxn,6/1/2021
0.12,nok,6/1/2021
0.74,sgd,6/1/2021
0.12,try,6/1/2021
0.74,bnd,6/1/2021
0.01,inr,6/1/2021
0.24,myr,6/1/2021
0.27,sar,6/1/2021
0,clp,6/1/2021
0,cop,6/1/2021
0.73,nzd,6/1/2021
0.25,ron,6/1/2021
0.07,zar,6/1/2021
0.13,hkd,6/1/2021
0.02,php,6/1/2021
0.05,czk,6/1/2021
0.27,aed,6/1/2021
0.06,egp,6/1/2021
0,idr,6/1/2021
0,lbp,6/1/2021
0.26,pen,6/1/2021
0.03,thb,6/1/2021
0.16,cny,6/1/2021
0.16,hrk,6/1/2021
0,huf,6/1/2021
0.01,pkr,6/1/2021
0.27,qar,6/1/2021
0,tzs,6/1/2021
0.04,uah,6/1/2021
0,vnd,6/1/2021
0,crc,6/1/2021
0,kzt,6/1/2021
0,ngn,6/1/2021
0.62,bgn,6/1/2021
1.16,eur,8/1/2021
0.78,cad,8/1/2021
1.36,gbp,8/1/2021
0.72,aud,8/1/2021
0.01,jpy,8/1/2021
0.19,brl,8/1/2021
1.08,chf,8/1/2021
0.16,dkk,8/1/2021
0.01,rub,8/1/2021
0.25,pln,8/1/2021
0.11,sek,8/1/2021
0.04,twd,8/1/2021
0.3,ils,8/1/2021
0,krw,8/1/2021
0.05,mxn,8/1/2021
0.11,nok,8/1/2021
0.73,sgd,8/1/2021
0.12,try,8/1/2021
0.73,bnd,8/1/2021
0.01,inr,8/1/2021
0.24,myr,8/1/2021
0.27,sar,8/1/2021
0,clp,8/1/2021
0,cop,8/1/2021
0.7,nzd,8/1/2021
0.24,ron,8/1/2021
0.07,zar,8/1/2021
0.13,hkd,8/1/2021
0.02,php,8/1/2021
0.05,czk,8/1/2021
0.27,aed,8/1/2021
0.06,egp,8/1/2021
0,idr,8/1/2021
0,lbp,8/1/2021
0.25,pen,8/1/2021
0.03,thb,8/1/2021
0.15,cny,8/1/2021
0.16,hrk,8/1/2021
0,huf,8/1/2021
0.01,pkr,8/1/2021
0.27,qar,8/1/2021
0,tzs,8/1/2021
0.04,uah,8/1/2021
0,vnd,8/1/2021
0,crc,8/1/2021
0,kzt,8/1/2021
0,ngn,8/1/2021
0.6,bgn,8/1/2021
1.16,eur,9/1/2021
0.78,cad,9/1/2021
1.35,gbp,9/1/2021
0.72,aud,9/1/2021
0.01,jpy,9/1/2021
0.19,brl,9/1/2021
1.07,chf,9/1/2021
0.16,dkk,9/1/2021
0.01,rub,9/1/2021
0.25,pln,9/1/2021
0.11,sek,9/1/2021
0.04,twd,9/1/2021
0.31,ils,9/1/2021
0,krw,9/1/2021
0.05,mxn,9/1/2021
0.11,nok,9/1/2021
0.73,sgd,9/1/2021
0.12,try,9/1/2021
0.73,bnd,9/1/2021
0.01,inr,9/1/2021
0.24,myr,9/1/2021
0.27,sar,9/1/2021
0,clp,9/1/2021
0,cop,9/1/2021
0.7,nzd,9/1/2021
0.24,ron,9/1/2021
0.07,zar,9/1/2021
0.13,hkd,9/1/2021
0.02,php,9/1/2021
0.05,czk,9/1/2021
0.27,aed,9/1/2021
0.06,egp,9/1/2021
0,idr,9/1/2021
0,lbp,9/1/2021
0.24,pen,9/1/2021
0.03,thb,9/1/2021
0.15,cny,9/1/2021
0.16,hrk,9/1/2021
0,huf,9/1/2021
0.01,pkr,9/1/2021
0.27,qar,9/1/2021
0,tzs,9/1/2021
0.04,uah,9/1/2021
0,vnd,9/1/2021
0,crc,9/1/2021
0,kzt,9/1/2021
0,ngn,9/1/2021
0.6,bgn,9/1/2021
1.15,eur,10/1/2021
0.79,cad,10/1/2021
1.35,gbp,10/1/2021
0.72,aud,10/1/2021
0.01,jpy,10/1/2021
0.18,brl,10/1/2021
1.07,chf,10/1/2021
0.15,dkk,10/1/2021
0.01,rub,10/1/2021
0.25,pln,10/1/2021
0.11,sek,10/1/2021
0.04,twd,10/1/2021
0.31,ils,10/1/2021
0,krw,10/1/2021
0.05,mxn,10/1/2021
0.12,nok,10/1/2021
0.73,sgd,10/1/2021
0.11,try,10/1/2021
0.73,bnd,10/1/2021
0.01,inr,10/1/2021
0.24,myr,10/1/2021
0.27,sar,10/1/2021
0,clp,10/1/2021
0,cop,10/1/2021
0.72,nzd,10/1/2021
0.23,ron,10/1/2021
0.07,zar,10/1/2021
0.13,hkd,10/1/2021
0.02,php,10/1/2021
0.05,czk,10/1/2021
0.27,aed,10/1/2021
0.06,egp,10/1/2021
0,idr,10/1/2021
0,lbp,10/1/2021
0.25,pen,10/1/2021
0.03,thb,10/1/2021
0.16,cny,10/1/2021
0.15,hrk,10/1/2021
0,huf,10/1/2021
0.01,pkr,10/1/2021
0.27,qar,10/1/2021
0,tzs,10/1/2021
0.04,uah,10/1/2021
0,vnd,10/1/2021
0,crc,10/1/2021
0,kzt,10/1/2021
0,ngn,10/1/2021
0.59,bgn,10/1/2021
